path,orig_path,width,height,mode,format
datasets\processed\wikiart_mixed\Cubism\Cubism_0014.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0014.png,572,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0015.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0015.png,511,646,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0016.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0016.png,608,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0017.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0017.png,637,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0018.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0018.png,511,691,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0019.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0019.png,890,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0020.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0020.png,643,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0021.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0021.png,646,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0022.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0022.png,660,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0023.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0023.png,511,682,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0024.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0024.png,511,713,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0025.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0025.png,642,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0026.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0026.png,730,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0027.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0027.png,783,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0028.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0028.png,596,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0029.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0029.png,511,626,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0030.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0030.png,601,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0031.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0031.png,511,612,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0032.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0032.png,511,684,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0033.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0033.png,556,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0034.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0034.png,674,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0035.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0035.png,511,733,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0036.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0036.png,511,592,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0037.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0037.png,652,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0038.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0038.png,821,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0039.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0039.png,636,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0040.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0040.png,511,724,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0041.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0041.png,511,759,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0042.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0042.png,511,788,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0043.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0043.png,511,779,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0044.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0044.png,511,758,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0045.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0045.png,511,790,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0046.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0046.png,511,785,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0047.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0047.png,651,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0048.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0048.png,663,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0049.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0049.png,511,641,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0050.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0050.png,611,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0051.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0051.png,511,607,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0052.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0052.png,511,695,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0053.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0053.png,511,669,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0054.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0054.png,619,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0055.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0055.png,511,767,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0056.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0056.png,511,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0057.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0057.png,600,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0058.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0058.png,511,647,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0059.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0059.png,699,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0000.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0000.png,607,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0001.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0001.png,511,669,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0002.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0002.png,511,668,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0003.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0003.png,649,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0004.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0004.png,574,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0005.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0005.png,511,620,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0006.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0006.png,511,597,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0007.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0007.png,511,708,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0008.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0008.png,669,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0009.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0009.png,511,619,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0010.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0010.png,717,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0011.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0011.png,736,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0012.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0012.png,732,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0013.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0013.png,511,747,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0014.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0014.png,627,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0015.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0015.png,619,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0016.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0016.png,511,658,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0017.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0017.png,790,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0018.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0018.png,511,648,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0019.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0019.png,511,547,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0020.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0020.png,681,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0021.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0021.png,511,762,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0022.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0022.png,591,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0023.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0023.png,511,555,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0024.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0024.png,511,682,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0025.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0025.png,618,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0026.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0026.png,621,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0027.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0027.png,890,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0028.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0028.png,511,725,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0029.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0029.png,1203,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0030.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0030.png,843,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0031.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0031.png,726,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0032.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0032.png,630,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0033.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0033.png,511,746,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0034.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0034.png,727,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0035.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0035.png,616,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0036.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0036.png,708,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0037.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0037.png,624,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0038.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0038.png,511,617,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0039.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0039.png,511,549,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0040.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0040.png,617,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0041.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0041.png,520,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0042.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0042.png,709,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0043.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0043.png,511,624,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0044.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0044.png,696,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0045.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0045.png,641,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0046.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0046.png,511,1026,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0047.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0047.png,511,826,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0048.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0048.png,511,622,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0049.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0049.png,511,655,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0050.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0050.png,511,613,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0051.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0051.png,860,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0052.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0052.png,856,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0053.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0053.png,511,610,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0054.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0054.png,511,709,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0055.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0055.png,617,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0056.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0056.png,511,790,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0057.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0057.png,682,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0058.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0058.png,659,511,RGB,png
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0059.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0059.png,628,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0000.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0000.png,511,738,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0001.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0001.png,511,708,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0002.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0002.png,511,663,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0003.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0003.png,511,851,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0004.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0004.png,622,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0005.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0005.png,511,678,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0006.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0006.png,511,738,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0007.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0007.png,511,639,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0008.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0008.png,511,711,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0009.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0009.png,832,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0010.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0010.png,511,637,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0011.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0011.png,511,587,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0012.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0012.png,511,645,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0013.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0013.png,511,592,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0014.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0014.png,511,639,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0015.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0015.png,511,520,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0016.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0016.png,511,600,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0017.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0017.png,563,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0018.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0018.png,511,672,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0019.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0019.png,739,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0020.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0020.png,511,622,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0021.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0021.png,517,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0022.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0022.png,511,860,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0023.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0023.png,556,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0024.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0024.png,511,681,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0025.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0025.png,511,683,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0026.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0026.png,511,619,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0027.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0027.png,511,799,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0028.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0028.png,511,688,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0029.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0029.png,745,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0030.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0030.png,746,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0031.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0031.png,511,664,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0032.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0032.png,511,789,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0033.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0033.png,511,830,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0034.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0034.png,511,731,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0035.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0035.png,511,629,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0036.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0036.png,609,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0037.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0037.png,511,634,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0038.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0038.png,511,621,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0039.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0039.png,511,717,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0040.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0040.png,511,719,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0041.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0041.png,657,511,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0042.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0042.png,511,754,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0043.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0043.png,511,806,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0044.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0044.png,511,785,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0045.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0045.png,511,682,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0046.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0046.png,511,731,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0047.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0047.png,511,515,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0048.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0048.png,511,768,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0049.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0049.png,511,711,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0050.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0050.png,511,655,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0051.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0051.png,511,722,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0052.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0052.png,511,700,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0053.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0053.png,511,1320,RGB,png
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0054.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0054.png,511,917,RGB,png
