path,orig_path,width,height,mode,format,cluster,typicality,heterogeneity,quality
datasets\processed\wikiart_mixed\Cubism\Cubism_0013.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0013.png,511,527,RGB,png,1,0.29714492,0.0,0.0102963885
datasets\processed\wikiart_mixed\Cubism\Cubism_0014.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0014.png,572,511,RGB,png,1,0.5891638,0.0,0.0051806387
datasets\processed\wikiart_mixed\Cubism\Cubism_0015.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0015.png,511,646,RGB,png,1,0.52681345,0.0,0.021762628
datasets\processed\wikiart_mixed\Cubism\Cubism_0016.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0016.png,608,511,RGB,png,3,0.40532795,0.7599785,0.069483265
datasets\processed\wikiart_mixed\Cubism\Cubism_0017.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0017.png,637,511,RGB,png,1,0.5149757,0.0,0.13152376
datasets\processed\wikiart_mixed\Cubism\Cubism_0018.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0018.png,511,691,RGB,png,1,0.43583682,0.0,0.017158113
datasets\processed\wikiart_mixed\Cubism\Cubism_0019.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0019.png,890,511,RGB,png,1,0.5755116,0.0,0.008907133
datasets\processed\wikiart_mixed\Cubism\Cubism_0020.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0020.png,643,511,RGB,png,1,0.37770927,0.0,0.100716956
datasets\processed\wikiart_mixed\Cubism\Cubism_0021.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0021.png,646,511,RGB,png,1,0.60053295,0.0,0.012416755
datasets\processed\wikiart_mixed\Cubism\Cubism_0022.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0022.png,660,511,RGB,png,1,0.519811,0.0,0.029398585
datasets\processed\wikiart_mixed\Cubism\Cubism_0023.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0023.png,511,682,RGB,png,1,0.44058928,0.0,0.010169734
datasets\processed\wikiart_mixed\Cubism\Cubism_0024.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0024.png,511,713,RGB,png,1,0.42656982,0.0,0.001653631
datasets\processed\wikiart_mixed\Cubism\Cubism_0025.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0025.png,642,511,RGB,png,1,0.41689026,0.0,0.05137023
datasets\processed\wikiart_mixed\Cubism\Cubism_0026.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0026.png,730,511,RGB,png,1,0.5248822,0.0,0.07693351
datasets\processed\wikiart_mixed\Cubism\Cubism_0027.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0027.png,783,511,RGB,png,1,0.464611,0.0,0.016905567
datasets\processed\wikiart_mixed\Cubism\Cubism_0028.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0028.png,596,511,RGB,png,1,0.4258168,0.0,0.017413167
datasets\processed\wikiart_mixed\Cubism\Cubism_0029.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0029.png,511,626,RGB,png,1,0.44294736,0.0,0.008834755
datasets\processed\wikiart_mixed\Cubism\Cubism_0030.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0030.png,601,511,RGB,png,1,0.44683248,0.0,0.025104497
datasets\processed\wikiart_mixed\Cubism\Cubism_0031.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0031.png,511,612,RGB,png,1,0.5089572,0.0,0.008255899
datasets\processed\wikiart_mixed\Cubism\Cubism_0032.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0032.png,511,684,RGB,png,1,0.36398834,0.0,0.026984293
datasets\processed\wikiart_mixed\Cubism\Cubism_0033.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0033.png,556,511,RGB,png,2,0.25623304,0.87237275,0.033484194
datasets\processed\wikiart_mixed\Cubism\Cubism_0034.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0034.png,674,511,RGB,png,1,0.3459854,0.0,0.100192025
datasets\processed\wikiart_mixed\Cubism\Cubism_0035.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0035.png,511,733,RGB,png,1,0.48159465,0.0,0.019339314
datasets\processed\wikiart_mixed\Cubism\Cubism_0036.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0036.png,511,592,RGB,png,1,0.5166782,0.0,0.00991315
datasets\processed\wikiart_mixed\Cubism\Cubism_0037.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0037.png,652,511,RGB,png,1,0.50395274,0.0,0.014562525
datasets\processed\wikiart_mixed\Cubism\Cubism_0038.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0038.png,821,511,RGB,png,1,0.35930896,0.0,0.058761984
datasets\processed\wikiart_mixed\Cubism\Cubism_0039.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0039.png,636,511,RGB,png,1,0.41666347,0.0,0.07209388
datasets\processed\wikiart_mixed\Cubism\Cubism_0040.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0040.png,511,724,RGB,png,1,0.608217,0.0,0.021374634
datasets\processed\wikiart_mixed\Cubism\Cubism_0041.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0041.png,511,759,RGB,png,1,0.4666402,0.0,0.0033368808
datasets\processed\wikiart_mixed\Cubism\Cubism_0042.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0042.png,511,788,RGB,png,1,0.50148755,0.0,0.004051915
datasets\processed\wikiart_mixed\Cubism\Cubism_0043.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0043.png,511,779,RGB,png,1,0.48056316,0.0,0.1205566
datasets\processed\wikiart_mixed\Cubism\Cubism_0044.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0044.png,511,758,RGB,png,1,0.4941794,0.0,0.01093884
datasets\processed\wikiart_mixed\Cubism\Cubism_0045.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0045.png,511,790,RGB,png,1,0.46014228,0.0,0.009392969
datasets\processed\wikiart_mixed\Cubism\Cubism_0046.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0046.png,511,785,RGB,png,1,0.4974354,0.0,0.0074147424
datasets\processed\wikiart_mixed\Cubism\Cubism_0047.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0047.png,651,511,RGB,png,3,0.47611058,0.7599785,0.026034305
datasets\processed\wikiart_mixed\Cubism\Cubism_0048.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0048.png,663,511,RGB,png,1,0.51708657,0.0,0.055954922
datasets\processed\wikiart_mixed\Cubism\Cubism_0049.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0049.png,511,641,RGB,png,1,0.5227393,0.0,0.004141178
datasets\processed\wikiart_mixed\Cubism\Cubism_0050.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0050.png,611,511,RGB,png,1,0.3255759,0.0,0.003282028
datasets\processed\wikiart_mixed\Cubism\Cubism_0051.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0051.png,511,607,RGB,png,1,0.5347966,0.0,0.0366499
datasets\processed\wikiart_mixed\Cubism\Cubism_0052.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0052.png,511,695,RGB,png,1,0.62294394,0.0,0.01800647
datasets\processed\wikiart_mixed\Cubism\Cubism_0053.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0053.png,511,669,RGB,png,1,0.3719092,0.0,0.011743082
datasets\processed\wikiart_mixed\Cubism\Cubism_0054.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0054.png,619,511,RGB,png,1,0.4516444,0.0,0.034682885
datasets\processed\wikiart_mixed\Cubism\Cubism_0055.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0055.png,511,767,RGB,png,1,0.39070457,0.0,0.007857902
datasets\processed\wikiart_mixed\Cubism\Cubism_0056.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0056.png,511,511,RGB,png,1,0.3476459,0.0,0.020326639
datasets\processed\wikiart_mixed\Cubism\Cubism_0057.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0057.png,600,511,RGB,png,1,0.40522814,0.0,0.007093393
datasets\processed\wikiart_mixed\Cubism\Cubism_0058.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0058.png,511,647,RGB,png,1,0.10316174,0.0,0.048338607
datasets\processed\wikiart_mixed\Cubism\Cubism_0059.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0059.png,699,511,RGB,png,1,0.544992,0.0,0.03888823
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0000.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0000.png,607,511,RGB,png,3,0.25838104,0.7599785,0.002132982
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0001.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0001.png,511,669,RGB,png,3,0.5195393,0.7599785,0.053935457
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0002.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0002.png,511,668,RGB,png,3,0.39371315,0.7599785,0.022451535
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0003.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0003.png,649,511,RGB,png,3,0.4909848,0.7599785,0.08780302
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0004.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0004.png,574,511,RGB,png,3,0.3949335,0.7599785,0.024600698
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0005.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0005.png,511,620,RGB,png,3,0.34064418,0.7599785,0.00907864
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0006.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0006.png,511,597,RGB,png,3,0.42137977,0.7599785,0.047042813
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0007.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0007.png,511,708,RGB,png,3,0.4043692,0.7599785,0.01252794
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0008.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0008.png,669,511,RGB,png,3,0.31370157,0.7599785,0.023149434
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0009.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0009.png,511,619,RGB,png,3,0.39056966,0.7599785,0.0
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0010.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0010.png,717,511,RGB,png,3,0.4006015,0.7599785,0.0321259
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0011.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0011.png,736,511,RGB,png,3,0.49379945,0.7599785,0.043766692
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0012.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0012.png,732,511,RGB,png,3,0.35532728,0.7599785,0.0040557873
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0013.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0013.png,511,747,RGB,png,3,0.40607107,0.7599785,0.061512023
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0014.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0014.png,627,511,RGB,png,3,0.4525208,0.7599785,0.07179097
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0015.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0015.png,619,511,RGB,png,3,0.46247524,0.7599785,0.011657332
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0016.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0016.png,511,658,RGB,png,3,0.48991325,0.7599785,0.01154856
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0017.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0017.png,790,511,RGB,png,3,0.5110946,0.7599785,0.028477015
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0018.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0018.png,511,648,RGB,png,3,0.45923015,0.7599785,0.047074996
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0019.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0019.png,511,547,RGB,png,3,0.43201894,0.7599785,0.0264489
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0020.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0020.png,681,511,RGB,png,3,0.5525874,0.7599785,0.07927279
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0021.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0021.png,511,762,RGB,png,3,0.420515,0.7599785,0.028791834
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0022.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0022.png,591,511,RGB,png,3,0.3663074,0.7599785,0.071960196
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0023.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0023.png,511,555,RGB,png,3,0.32061502,0.7599785,0.006553314
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0024.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0024.png,511,682,RGB,png,3,0.4613426,0.7599785,0.008091106
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0025.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0025.png,618,511,RGB,png,3,0.4818016,0.7599785,0.021724656
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0026.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0026.png,621,511,RGB,png,3,0.46302146,0.7599785,0.040047713
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0027.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0027.png,890,511,RGB,png,3,0.55028504,0.7599785,0.011235768
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0028.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0028.png,511,725,RGB,png,3,0.39657876,0.7599785,0.015505658
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0029.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0029.png,1203,511,RGB,png,3,0.4648251,0.7599785,0.045214485
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0030.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0030.png,843,511,RGB,png,3,0.33608446,0.7599785,0.069951266
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0031.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0031.png,726,511,RGB,png,3,0.55622274,0.7599785,0.07291377
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0032.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0032.png,630,511,RGB,png,3,0.4568204,0.7599785,0.051373523
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0033.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0033.png,511,746,RGB,png,3,0.34275168,0.7599785,0.027951743
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0034.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0034.png,727,511,RGB,png,3,0.3253017,0.7599785,0.00084991235
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0035.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0035.png,616,511,RGB,png,3,0.49446908,0.7599785,0.07055017
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0036.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0036.png,708,511,RGB,png,3,0.44188222,0.7599785,0.020416414
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0037.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0037.png,624,511,RGB,png,3,0.44546902,0.7599785,0.029797763
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0038.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0038.png,511,617,RGB,png,3,0.33587274,0.7599785,0.028726557
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0039.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0039.png,511,549,RGB,png,3,0.36848497,0.7599785,0.011525683
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0040.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0040.png,617,511,RGB,png,3,0.5623984,0.7599785,0.09207494
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0041.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0041.png,520,511,RGB,png,3,0.3960866,0.7599785,0.014382705
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0042.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0042.png,709,511,RGB,png,3,0.3984608,0.7599785,0.019221824
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0043.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0043.png,511,624,RGB,png,1,0.40570056,0.0,0.0028489355
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0044.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0044.png,696,511,RGB,png,3,0.4245796,0.7599785,0.027377376
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0045.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0045.png,641,511,RGB,png,3,0.28248882,0.7599785,0.010572624
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0046.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0046.png,511,1026,RGB,png,3,0.42415377,0.7599785,0.03315998
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0047.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0047.png,511,826,RGB,png,3,0.3715926,0.7599785,0.011755275
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0048.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0048.png,511,622,RGB,png,3,0.37288857,0.7599785,0.069691464
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0049.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0049.png,511,655,RGB,png,3,0.42659193,0.7599785,0.053385228
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0050.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0050.png,511,613,RGB,png,3,0.37376317,0.7599785,0.011297249
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0051.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0051.png,860,511,RGB,png,3,0.45792493,0.7599785,0.09564929
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0052.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0052.png,856,511,RGB,png,3,0.32979226,0.7599785,0.033485986
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0053.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0053.png,511,610,RGB,png,3,0.37914342,0.7599785,0.006759285
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0054.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0054.png,511,709,RGB,png,3,0.3556578,0.7599785,0.025069227
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0055.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0055.png,617,511,RGB,png,3,0.42575347,0.7599785,0.030074652
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0056.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0056.png,511,790,RGB,png,3,0.3706548,0.7599785,0.05635261
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0057.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0057.png,682,511,RGB,png,3,0.56256825,0.7599785,0.013713771
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0058.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0058.png,659,511,RGB,png,3,0.4102846,0.7599785,0.028302839
datasets\processed\wikiart_mixed\Impressionism\Impressionism_0059.png,datasets\processed\wikiart_mixed\Impressionism\Impressionism_0059.png,628,511,RGB,png,3,0.47031993,0.7599785,0.07825068
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0000.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0000.png,511,738,RGB,png,2,0.32577056,0.87237275,0.0060457713
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0001.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0001.png,511,708,RGB,png,2,0.25947812,0.87237275,0.0073928437
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0002.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0002.png,511,663,RGB,png,2,0.6166547,0.87237275,0.27620733
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0003.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0003.png,511,851,RGB,png,2,0.55860186,0.87237275,0.27793622
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0004.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0004.png,622,511,RGB,png,2,0.31357145,0.87237275,0.08234666
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0005.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0005.png,511,678,RGB,png,2,0.45354348,0.87237275,0.023626354
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0006.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0006.png,511,738,RGB,png,2,0.41012043,0.87237275,0.037894674
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0007.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0007.png,511,639,RGB,png,2,0.44088748,0.87237275,0.03925436
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0008.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0008.png,511,711,RGB,png,2,0.36241,0.87237275,0.005763469
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0009.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0009.png,832,511,RGB,png,2,0.3886897,0.87237275,0.013206031
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0010.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0010.png,511,637,RGB,png,2,0.2921485,0.87237275,0.005252997
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0011.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0011.png,511,587,RGB,png,2,0.47285473,0.87237275,0.008427748
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0012.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0012.png,511,645,RGB,png,2,0.40014043,0.87237275,0.056476515
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0013.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0013.png,511,592,RGB,png,2,0.4784676,0.87237275,0.02213385
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0014.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0014.png,511,639,RGB,png,2,0.43680617,0.87237275,0.007885681
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0015.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0015.png,511,520,RGB,png,2,0.36532012,0.87237275,0.015192862
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0016.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0016.png,511,600,RGB,png,2,0.32206976,0.87237275,0.03494714
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0017.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0017.png,563,511,RGB,png,2,0.5800469,0.87237275,0.03297827
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0018.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0018.png,511,672,RGB,png,2,0.280201,0.87237275,0.03688899
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0019.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0019.png,739,511,RGB,png,3,0.18789946,0.7599785,0.033414144
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0020.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0020.png,511,622,RGB,png,2,0.6253156,0.87237275,0.0853587
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0021.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0021.png,517,511,RGB,png,2,0.47838902,0.87237275,0.018172186
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0022.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0022.png,511,860,RGB,png,2,0.47040957,0.87237275,0.15637366
datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0023.png,datasets\processed\wikiart_mixed\Northern_Renaissance\Northern_Renaissance_0023.png,556,511,RGB,png,2,0.3124839,0.87237275,0.08327386
